palette, ncolors, red, green, blue
accent,3,127,201,127
accent,3,190,174,212
accent,3,253,192,134
accent,4,127,201,127
accent,4,190,174,212
accent,4,253,192,134
accent,4,255,255,153
accent,5,127,201,127
accent,5,190,174,212
accent,5,253,192,134
accent,5,255,255,153
accent,5,56,108,176
accent,6,127,201,127
accent,6,190,174,212
accent,6,253,192,134
accent,6,255,255,153
accent,6,56,108,176
accent,6,240,2,127
accent,7,127,201,127
accent,7,190,174,212
accent,7,253,192,134
accent,7,255,255,153
accent,7,56,108,176
accent,7,240,2,127
accent,7,191,91,23
accent,8,127,201,127
accent,8,190,174,212
accent,8,253,192,134
accent,8,255,255,153
accent,8,56,108,176
accent,8,240,2,127
accent,8,191,91,23
accent,8,102,102,102
blues,3,222,235,247
blues,3,158,202,225
blues,3,49,130,189
blues,4,239,243,255
blues,4,189,215,231
blues,4,107,174,214
blues,4,33,113,181
blues,5,239,243,255
blues,5,189,215,231
blues,5,107,174,214
blues,5,49,130,189
blues,5,8,81,156
blues,6,239,243,255
blues,6,198,219,239
blues,6,158,202,225
blues,6,107,174,214
blues,6,49,130,189
blues,6,8,81,156
blues,7,239,243,255
blues,7,198,219,239
blues,7,158,202,225
blues,7,107,174,214
blues,7,66,146,198
blues,7,33,113,181
blues,7,8,69,148
blues,8,247,251,255
blues,8,222,235,247
blues,8,198,219,239
blues,8,158,202,225
blues,8,107,174,214
blues,8,66,146,198
blues,8,33,113,181
blues,8,8,69,148
blues,9,247,251,255
blues,9,222,235,247
blues,9,198,219,239
blues,9,158,202,225
blues,9,107,174,214
blues,9,66,146,198
blues,9,33,113,181
blues,9,8,81,156
blues,9,8,48,107
brbg,3,216,179,101
brbg,3,245,245,245
brbg,3,90,180,172
brbg,4,166,97,26
brbg,4,223,194,125
brbg,4,128,205,193
brbg,4,1,133,113
brbg,5,166,97,26
brbg,5,223,194,125
brbg,5,245,245,245
brbg,5,128,205,193
brbg,5,1,133,113
brbg,6,140,81,10
brbg,6,216,179,101
brbg,6,246,232,195
brbg,6,199,234,229
brbg,6,90,180,172
brbg,6,1,102,94
brbg,7,140,81,10
brbg,7,216,179,101
brbg,7,246,232,195
brbg,7,245,245,245
brbg,7,199,234,229
brbg,7,90,180,172
brbg,7,1,102,94
brbg,8,140,81,10
brbg,8,191,129,45
brbg,8,223,194,125
brbg,8,246,232,195
brbg,8,199,234,229
brbg,8,128,205,193
brbg,8,53,151,143
brbg,8,1,102,94
brbg,9,140,81,10
brbg,9,191,129,45
brbg,9,223,194,125
brbg,9,246,232,195
brbg,9,245,245,245
brbg,9,199,234,229
brbg,9,128,205,193
brbg,9,53,151,143
brbg,9,1,102,94
brbg,10,84,48,5
brbg,10,140,81,10
brbg,10,191,129,45
brbg,10,223,194,125
brbg,10,246,232,195
brbg,10,199,234,229
brbg,10,128,205,193
brbg,10,53,151,143
brbg,10,1,102,94
brbg,10,0,60,48
brbg,11,84,48,5
brbg,11,140,81,10
brbg,11,191,129,45
brbg,11,223,194,125
brbg,11,246,232,195
brbg,11,245,245,245
brbg,11,199,234,229
brbg,11,128,205,193
brbg,11,53,151,143
brbg,11,1,102,94
brbg,11,0,60,48
bugn,3,229,245,249
bugn,3,153,216,201
bugn,3,44,162,95
bugn,4,237,248,251
bugn,4,178,226,226
bugn,4,102,194,164
bugn,4,35,139,69
bugn,5,237,248,251
bugn,5,178,226,226
bugn,5,102,194,164
bugn,5,44,162,95
bugn,5,0,109,44
bugn,6,237,248,251
bugn,6,204,236,230
bugn,6,153,216,201
bugn,6,102,194,164
bugn,6,44,162,95
bugn,6,0,109,44
bugn,7,237,248,251
bugn,7,204,236,230
bugn,7,153,216,201
bugn,7,102,194,164
bugn,7,65,174,118
bugn,7,35,139,69
bugn,7,0,88,36
bugn,8,247,252,253
bugn,8,229,245,249
bugn,8,204,236,230
bugn,8,153,216,201
bugn,8,102,194,164
bugn,8,65,174,118
bugn,8,35,139,69
bugn,8,0,88,36
bugn,9,247,252,253
bugn,9,229,245,249
bugn,9,204,236,230
bugn,9,153,216,201
bugn,9,102,194,164
bugn,9,65,174,118
bugn,9,35,139,69
bugn,9,0,109,44
bugn,9,0,68,27
bupu,3,224,236,244
bupu,3,158,188,218
bupu,3,136,86,167
bupu,4,237,248,251
bupu,4,179,205,227
bupu,4,140,150,198
bupu,4,136,65,157
bupu,5,237,248,251
bupu,5,179,205,227
bupu,5,140,150,198
bupu,5,136,86,167
bupu,5,129,15,124
bupu,6,237,248,251
bupu,6,191,211,230
bupu,6,158,188,218
bupu,6,140,150,198
bupu,6,136,86,167
bupu,6,129,15,124
bupu,7,237,248,251
bupu,7,191,211,230
bupu,7,158,188,218
bupu,7,140,150,198
bupu,7,140,107,177
bupu,7,136,65,157
bupu,7,110,1,107
bupu,8,247,252,253
bupu,8,224,236,244
bupu,8,191,211,230
bupu,8,158,188,218
bupu,8,140,150,198
bupu,8,140,107,177
bupu,8,136,65,157
bupu,8,110,1,107
bupu,9,247,252,253
bupu,9,224,236,244
bupu,9,191,211,230
bupu,9,158,188,218
bupu,9,140,150,198
bupu,9,140,107,177
bupu,9,136,65,157
